routes,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1
Bay_Ridge_to_Manhattan_Beach,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bay_Ridge_to_Sheepshead_Bay,1.0,1.0,1.0,0.8,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.6,0.7777777777777778,0.9777777777777777,0.6,0.6,0.8,0.8
Gravesend_to_Canarsie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Midwood_to_Sunset_Park,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857
Downtown_Brooklyn_to_Ridgewood,1.0,0.9333333333333333,1.0,0.9333333333333333,0.9777777777777777,0.7777777777777778,0.9333333333333333,1.0,0.9777777777777777,1.0,1.0,0.9777777777777777,1.0,1.0,1.0,1.0,0.9777777777777777
Williamsburg_to_Lower_East_Side,1.0,1.0,1.0,1.0,1.0,0.47619047619047616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Prospect_Lefferts_Garden_to_Bergen_Beach,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0
Downtown_Brooklyn_to_Kings_Plaza,1.0,0.9696969696969697,0.9696969696969697,0.9848484848484849,0.9848484848484849,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9848484848484849
Greenpoint_to_Prospect_Lefferts_Garden,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.4666666666666667,0.4444444444444444,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bed_Stuy_to_Sheepshead_Bay,1.0,1.0,1.0,1.0,1.0,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555,1.0,1.0,1.0,1.0,0.9777777777777777,1.0,0.9777777777777777,1.0
Flatbush_to_Downtown_BK,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
Broadway_Junction_to_Sunnyside,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.7222222222222222,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Downtown_Brooklyn_to_Jackson_Heights,1.0,1.0,1.0,0.9871794871794872,0.8333333333333334,0.5641025641025641,0.6794871794871795,0.8333333333333334,0.6666666666666666,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,1.0,1.0,0.9871794871794872
East_New_York_to_Midwood,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Williamsburg_to_Jamaica,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0.13333333333333333,0.2,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333
